,iter,loss,score
0,0,2168.3779296875,0.0
1,1,2146.98291015625,0.0
2,2,2120.1162109375,0.0
3,3,2067.168212890625,0.0
4,4,1919.378662109375,0.0
5,5,1581.89306640625,0.0013020833721384406
6,6,1315.90673828125,0.0
7,7,1198.8463134765625,0.0
8,8,1133.82421875,0.0
9,9,1105.913330078125,0.0
10,10,1097.9173583984375,0.0
11,11,1089.693359375,0.0
12,12,1088.26611328125,0.0
13,13,1089.953125,0.0
14,14,1088.909912109375,0.0
15,15,1088.8779296875,0.0
16,16,1090.68505859375,0.0026041667442768812
17,17,1087.9346923828125,0.0
18,18,1090.3228759765625,0.0
19,19,1088.496826171875,0.1041666716337204
20,20,1088.47998046875,0.1809895932674408
21,21,1090.6455078125,0.1302083432674408
22,22,1091.0078125,0.1914062649011612
23,23,1088.81005859375,0.17578125
24,24,1088.9766845703125,0.1158854216337204
25,25,1088.26806640625,0.0
26,26,1091.00732421875,0.0
27,27,1091.044677734375,0.0
28,28,1089.4388427734375,0.0
29,29,1090.419189453125,0.0
30,30,1092.78955078125,0.0
31,31,1089.733642578125,0.0
32,32,1089.129150390625,0.0
33,33,1089.27294921875,0.0
34,34,1088.3624267578125,0.0
35,35,1087.7100830078125,0.0
36,36,1090.1727294921875,0.0
37,37,1088.317138671875,0.0
38,38,1090.0447998046875,0.0
39,39,1090.2750244140625,0.0
40,40,1089.4163818359375,0.0
41,41,1090.225341796875,0.0
42,42,1090.2216796875,0.0
43,43,1086.8077392578125,0.0
44,44,1088.399169921875,0.0
45,45,1088.0999755859375,0.0
46,46,1087.6885986328125,0.0
47,47,1088.0875244140625,0.0
48,48,1088.5987548828125,0.0013020833721384406
49,49,1087.4373779296875,0.0
50,50,1088.240478515625,0.0
51,51,1089.8770751953125,0.0
52,52,1086.2130126953125,0.0
53,53,1089.387939453125,0.0
54,54,1091.5343017578125,0.0
55,55,1087.88232421875,0.0
56,56,1088.97705078125,0.0
57,57,1089.5806884765625,0.0026041667442768812
58,58,1087.0159912109375,0.0
59,59,1088.6986083984375,0.0
60,60,1087.484375,0.0
61,61,1088.382568359375,0.0
62,62,1089.5252685546875,0.0
63,63,1089.3228759765625,0.0
64,64,1088.5880126953125,0.0
65,65,1088.187255859375,0.0
66,66,1089.2266845703125,0.0
67,67,1088.64013671875,0.0
68,68,1088.1259765625,0.0
69,69,1088.3284912109375,0.0
70,70,1089.063720703125,0.0
71,71,1089.524658203125,0.0
72,72,1088.6849365234375,0.0
73,73,1088.846923828125,0.0
74,74,1090.243896484375,0.0
75,75,1089.536376953125,0.0
76,76,1086.8057861328125,0.0
77,77,1088.413818359375,0.0
78,78,1089.8516845703125,0.0
79,79,1085.5869140625,0.0
80,80,1088.8570556640625,0.0
81,81,1088.9825439453125,0.0
82,82,1087.3031005859375,0.0
83,83,1090.578125,0.0
84,84,1088.73828125,0.0
85,85,1089.079833984375,0.0
86,86,1086.06396484375,0.0
87,87,1088.613037109375,0.0013020833721384406
88,88,1089.005615234375,0.0
89,89,1090.8779296875,0.0
90,90,1090.1956787109375,0.0
91,91,1086.427978515625,0.0
92,92,1089.001953125,0.0
93,93,1089.54248046875,0.0
94,94,1087.1483154296875,0.0
95,95,1088.7318115234375,0.0
96,96,1088.8709716796875,0.0
97,97,1087.216796875,0.0
98,98,1088.9925537109375,0.0
99,99,1088.14501953125,0.0
100,100,1090.0179443359375,0.0
101,101,1089.761962890625,0.0
102,102,1089.05029296875,0.0
103,103,1088.4083251953125,0.0013020833721384406
104,104,1086.947265625,0.0
105,105,1088.23681640625,0.0
106,106,1088.723876953125,0.0
107,107,1090.2762451171875,0.0
108,108,1088.581298828125,0.0
109,109,1089.450439453125,0.0
110,110,1088.5374755859375,0.0
111,111,1090.0743408203125,0.0
112,112,1088.081298828125,0.0
113,113,1088.2017822265625,0.0
114,114,1087.9635009765625,0.0
115,115,1088.054931640625,0.0
116,116,1093.206787109375,0.0
117,117,1089.5621337890625,0.0
118,118,1088.9747314453125,0.0
119,119,1089.203125,0.0
120,120,1088.43359375,0.0
121,121,1087.6968994140625,0.0
122,122,1088.3316650390625,0.0013020833721384406
123,123,1089.370849609375,0.0
124,124,1087.7791748046875,0.0
125,125,1087.028564453125,0.0
126,126,1089.7227783203125,0.0
127,127,1088.0703125,0.0
128,128,1089.38134765625,0.0
129,129,1089.827880859375,0.0013020833721384406
130,130,1088.2772216796875,0.0
131,131,1089.3759765625,0.0
132,132,1089.271728515625,0.0
133,133,1087.99560546875,0.0
134,134,1089.4344482421875,0.0
135,135,1089.1650390625,0.0
136,136,1089.210693359375,0.0
137,137,1092.0091552734375,0.0
138,138,1088.6153564453125,0.0
139,139,1088.1717529296875,0.0
140,140,1086.556640625,0.0
141,141,1088.9501953125,0.0
142,142,1088.9697265625,0.0
143,143,1088.6895751953125,0.0
144,144,1088.135498046875,0.0
145,145,1086.4056396484375,0.0013020833721384406
146,146,1088.287841796875,0.0
147,147,1087.9947509765625,0.0
148,148,1089.650634765625,0.0
149,149,1091.49365234375,0.0
150,150,1088.3995361328125,0.0
151,151,1089.904296875,0.0
152,152,1087.4326171875,0.0
153,153,1087.7384033203125,0.0
154,154,1088.17724609375,0.0
155,155,1091.473388671875,0.0013020833721384406
156,156,1090.2548828125,0.0
157,157,1089.314208984375,0.0
158,158,1089.80419921875,0.0
159,159,1089.23974609375,0.0
160,160,1089.8856201171875,0.0
161,161,1088.8411865234375,0.0
162,162,1089.4052734375,0.0
163,163,1087.5377197265625,0.0
164,164,1087.689453125,0.0
165,165,1088.9573974609375,0.0
166,166,1087.483642578125,0.0
167,167,1085.90576171875,0.0
168,168,1089.9918212890625,0.0
169,169,1090.23876953125,0.0
170,170,1087.3408203125,0.0026041667442768812
171,171,1088.5887451171875,0.0
172,172,1087.60107421875,0.0
173,173,1090.18896484375,0.0
174,174,1086.935546875,0.0
175,175,1088.308837890625,0.0
176,176,1089.530517578125,0.0
177,177,1087.8719482421875,0.0
178,178,1087.9334716796875,0.0
179,179,1090.091796875,0.0
180,180,1088.4364013671875,0.0
181,181,1086.658447265625,0.0
182,182,1085.4189453125,0.0
183,183,1088.056396484375,0.0013020833721384406
184,184,1088.168701171875,0.0013020833721384406
185,185,1087.5384521484375,0.0
186,186,1088.536865234375,0.0
